"ITTER107","Territorio","VARICT","Tipo dato","ATECO_2007","Ateco 2007","CLLVT","Classe di addetti","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2021","2021",65.33,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CA","industrie alimentari, delle bevande e del tabacco","W_GE10","10 e più","2023","2023",59.06,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2019","2019",30.27,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2021","2021",43.9,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CB","industrie tessili, dell'abbigliamento, articoli in pelle e simili","W_GE10","10 e più","2023","2023",32.84,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2019","2019",37.17,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2021","2021",56.07,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CC","industria dei prodotti in legno e carta, stampa","W_GE10","10 e più","2023","2023",54.42,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2019","2019",25.26,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2021","2021",37.73,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CH","metallurgia  e fabbricazione di prodotti in metallo esclusi macchinari e attrezzature","W_GE10","10 e più","2023","2023",44,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2019","2019",56.39,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2021","2021",51.66,,
"IT","Italia","E_SM_ANY_PERC","imprese che utilizzano almeno un social media (incidenza %)","CL","fabbricazione di mezzi di trasporto","W_GE10","10 e più","2023","2023",45.53,,
